phase_(f*t)[-],z_mat_sin_01[mm],z_mat_sin_02[mm],z_mat_sin_03[mm],z_mat_sin_04[mm],z_mat_sin_05[mm],z_mat_sin_06[mm],z_mat_sin_07[mm],z_mat_sin_08[mm],z_mat_sin_09[mm],z_mat_sin_10[mm],z_mat_sin_11[mm],z_mat_sin_12[mm],z_mat_sin_13[mm],z_mat_sin_14[mm],z_mat_sin_15[mm]
0.44941,40.9105986450901,78.0451455004211,117.143407808517,155.790692557351,195.363613670106,230.445869512963,269.056609129608,306.90198045147,344.016377109571,383.182341345954,421.365716889546,459.233078517514,497.776629651621,529.388860482781,554.683021760755
0.45941,40.9104807194731,78.0444720810598,117.143567191076,155.79530521501,195.36227592833,230.443419659268,269.050649353862,306.890352808323,343.990804980979,383.156542650144,421.333327371424,459.195062630144,497.734140393134,529.341364970103,554.631182687535
0.46941,40.9104799333382,78.0437516943937,117.143666936451,155.799943866624,195.360875112251,230.4409037905,269.04463607224,306.878578444541,343.964543257444,383.130004633205,421.300185908794,459.155938872357,497.690312411707,529.292491624125,554.577839306469
0.47941,40.9105962897878,78.04298718346,117.143706650993,155.804590205552,195.359416750249,230.438331835643,269.038593016417,306.866703828159,343.937695581992,383.102832028566,421.266423295867,459.115861647753,497.645318676359,529.242433325617,554.52320213951
0.48941,40.9108293296163,78.0421815654339,117.143686177966,155.80922589482,195.357906597814,230.435713945029,269.032544035574,306.854775822862,343.910367910132,383.075132074083,421.232172778252,459.074989122826,497.599336756808,529.191387631813,554.467486814596
0.49941,40.9111781331219,78.0413380197218,117.143605598168,155.813832639478,195.356350614826,230.433060450275,269.026513002275,306.842841503039,343.882668091699,383.047014088822,421.197569527094,459.033482602761,497.552548122683,529.139555996747,554.41091321466
0.50941,40.9116413237365,78.0404598754132,117.143465229611,155.81839225881,195.35475494204,230.430381823514,269.020523718253,306.830947967997,343.854705445223,383.018589041625,421.162750105616,458.991505894829,497.505137427348,529.087142976201,554.353704609855
0.51941,40.9122170734583,78.0395505981425,117.143265626265,155.822886758083,195.353125876848,230.42768863606,269.014599820475,306.819142156086,343.826590326493,382.989969113167,421.127851930169,458.949224661919,497.457291779157,529.034355420424,554.296086776409
0.52941,40.9129031100663,78.0386137764117,117.143007575874,155.82729839956,195.351469848424,230.424991516696,269.00876468786,306.807470659451,343.79843369304,382.96126725323,421.093012727906,458.906805768741,497.409200003024,528.981401657781,554.238287105585
0.53941,40.9136967260874,78.0376531074282,117.142692096844,155.831609772508,195.349793392358,230.422301109718,269.003041349011,306.795979540158,343.770346666231,382.932596734943,421.058369993243,458.864416623286,497.36105189522,528.928490672581,554.18053370628
0.54941,40.9145947894817,78.0366723825136,117.142320434227,155.835803861907,195.348103124855,230.419628032934,268.997452391331,306.784714148404,343.74244009273,382.904070707743,421.024060445227,458.822224516147,497.31303747433,528.875831280311,554.123054504775
0.55941,40.9155937560032,78.035675472141,117.141894054806,155.839864115604,195.346405716629,230.416982835756,268.992019871882,306.773718943545,343.714824107033,382.875801750827,420.990219487969,458.780395960295,497.265346231335,528.823631303532,554.066076345219
0.56941,40.9166896831876,78.0346663106603,117.141414641305,155.843774509632,195.344707866575,230.414375957571,268.986765230337,306.76303731863,343.687607696819,382.847901428854,420.956980676266,458.739096033929,497.218166381785,528.772096751707,554.009824094377
0.57941,40.9178782459108,78.0336488807707,117.140884085751,155.847519611451,195.34301627533,230.411817686533,268.981709204367,306.752711429154,343.660898272825,382.820479851648,420.924475188525,458.698487728991,497.171684122992,528.721431008167,553.954519754183
0.58941,40.9191547534589,78.0326271978033,117.140304482003,155.851084640857,195.341337618834,230.409318118972,268.976871747794,306.742782026684,343.634801244946,382.793645239645,420.892831309053,458.658731307909,497.126082899194,528.671834027455,553.900381585603
0.59941,40.9205141680396,78.0316052938739,117.139678117494,155.854455528306,195.339678521976,230.406887119537,268.972271951851,306.733288298035,343.609419606228,382.767503496801,420.862173921787,458.619983671113,497.08154267759,528.623501546195,553.847623247253
0.60941,40.9219511246648,78.0305872019705,117.139007464197,155.857618970446,195.338045532453,230.404534282274,268.96792796983,306.724267710618,343.584853526402,382.742157792631,420.832624017428,458.582397737823,497.038239238085,528.57662431061,553.796452952194
