phase_(f*t)[-],d_mat_sin_01[mm],d_mat_sin_02[mm],d_mat_sin_03[mm],d_mat_sin_04[mm],d_mat_sin_05[mm],d_mat_sin_06[mm],d_mat_sin_07[mm],d_mat_sin_08[mm],d_mat_sin_09[mm],d_mat_sin_10[mm],d_mat_sin_11[mm],d_mat_sin_12[mm],d_mat_sin_13[mm],d_mat_sin_14[mm]
0.54565,1.41057362012252,5.02261233563141,10.3410440997064,17.0485377214073,25.1907620827672,33.3452270933322,42.9304537647761,53.3968370549042,65.4333221444945,76.9414359384525,88.1803889576458,99.7291913997109,111.519865931752,121.225588674508
0.55565,1.39527023384922,4.97109985008827,10.2390871119937,16.8794207427042,24.9414170975626,33.0104345572663,42.4934164665285,52.8027880496232,64.7696821827539,76.148884822442,87.2509412053812,98.6613065854123,110.324383665927,119.921435576949
0.56565,1.37817787596989,4.9140484185176,10.125930598094,16.6918335005553,24.6644375033414,32.6385281264736,42.0081431584339,52.1443259791526,64.030007097308,75.2661354224726,86.2182444664891,97.475620304305,108.99670330112,118.473057852278
0.57565,1.35936400221235,4.85168319685549,10.0020211350716,16.4865163161049,24.3609164120221,32.2309755457284,41.4765489925391,51.4240494924619,63.2172160477937,74.2966715471362,85.0863743232036,96.1768119184522,107.542064585174,116.886171585674
0.58565,1.33890286234106,4.78425031213989,9.867847736968,16.2642794824795,24.0320516826864,31.789385238874,40.9007319281545,50.6448011917809,62.3345167491546,73.2443192274428,83.8597977498782,94.7700072311836,105.966208312537,115.167039492251
0.59565,1.31687520712729,4.7120158911596,9.7239399248876,16.0260000669311,23.6791411941771,31.3154999611081,40.2829644521675,49.8096564141477,61.3853928122555,72.1132316172241,82.543355483878,93.2607582578921,104.275353667979,113.322446200985
0.60565,1.29336796966269,4.63526501017347,9.57086563721945,15.7726184494533,23.3035777229629,30.8111899211245,39.6256846105747,48.9219110944584,60.3735899956617,70.9078726025329,81.1422429214019,91.6550213147648,102.476173682302,111.359671478883
0.61565,1.26847392227409,4.55430056984461,9.40922898824398,15.5051346115314,22.906843446486,30.2784454002535,38.9314863866283,47.9850687579174,59.3031014228417,69.632999184724,79.6619896136264,89.959133511925,100.575768896944,109.286461501066
0.62565,1.24229131039354,4.46944209982987,9.23966788396994,15.2246041896718,22.4905040936849,29.7193688977313,38.2031094635691,47.0028266932246,58.1781518231326,68.2936427067434,78.1084374440938,88.1797877437529,98.5816393413791,107.110998280157
0.63565,1.21492346482843,4.38102449774224,9.0628515046108,14.9321343092874,22.0562027657779,29.1361668330956,37.4434284123488,45.9790613610656,57.003180858664,66.8950889967157,76.487717573467,86.3240062750898,96.501654933933,104.841867375615
0.64565,1.18647839396203,4.28939670746301,8.87947766363616,14.6288792153794,21.6056534516928,28.5311408384557,36.6554413470112,44.9178130954925,55.7828256030394,65.4428575071961,74.8062262426387,84.3991130275665,94.3440244228071,102.488024010451
0.65565,1.15706835749372,4.19492034201964,8.69027005382082,14.3160357172593,21.1406342637359,27.9066786750026,35.8422580925062,43.8232701585713,54.5219022409254,63.9426795324122,73.0705995296915,82.4127046754311,92.1172629899012,100.058757729061
0.66565,1.12680942340128,4.09796825646441,8.49597539115999,13.9948384652896,20.662980420195,27.2652448096056,35.0070879116312,42.699752211225,53.2253870607713,62.4004755894644,71.2876871603289,80.3726206649457,89.8301586452803,97.5636557356298
0.67565,1.09582100987358,3.9989230763858,8.29736046792239,13.6665550782828,20.1745770025713,26.6093706886882,34.1532268395372,41.5516932655051,51.8983968156717,60.8223320527496,69.4645254751375,78.286912275674,87.4917375449142,95.0125650578224
0.68565,1.06422541402155,3.89817568786015,8.09520912647152,13.3324811407889,19.6773515160238,25.9416447477654,33.2840446757837,40.3836241855723,50.5461685298798,59.2144771338219,67.6083096603656,76.1638108457588,85.111228368563,92.4155536850615
0.69565,1.03214732922737,3.79612369480285,7.89031916579792,12.9939350900154,19.1732662823872,25.264702196071,32.4029716852795,39.200154806445,49.1740388306654,57.5832563014873,65.7263653518097,74.0116952865914,82.6980258983945,89.7828708347738
