phase_(f*t)[-],d_mat_sin_01[mm],d_mat_sin_02[mm],d_mat_sin_03[mm],d_mat_sin_04[mm],d_mat_sin_05[mm],d_mat_sin_06[mm],d_mat_sin_07[mm],d_mat_sin_08[mm],d_mat_sin_09[mm],d_mat_sin_10[mm],d_mat_sin_11[mm],d_mat_sin_12[mm],d_mat_sin_13[mm],d_mat_sin_14[mm],d_mat_sin_15[mm]
0.64941,0.722731020524712,2.25097701114038,4.66924234042913,7.67216476001365,11.1953997192143,14.8046724526506,19.154246470084,23.0973050008415,27.3303194508805,32.1436360517978,36.8944896619458,41.6668508574541,46.5656455089183,50.6302206533361,53.8630523505712
0.65941,0.721330385178618,2.25387396599073,4.68200851114521,7.69924785221313,11.2366408365353,14.8652358101781,19.2395881341571,23.2321410612485,27.5245909337522,32.3810520041782,37.1741330711239,41.988829397251,46.9322982550897,51.033926289122,54.2981218173513
0.66941,0.719791095230197,2.25611250202761,4.69282416782233,7.72271919893741,11.272450789643,14.9180464933363,19.3145752421743,23.355149261238,27.7058675258244,32.602744981096,37.4351726643504,42.2891724137368,47.2742398854127,51.4102843130813,54.7037576584915
0.67941,0.718119225553639,2.25768378477199,4.70164662600479,7.74248616950402,11.3026882530124,14.9628960824855,19.3789118542789,23.4658441436418,27.8734338112055,32.8078400616533,37.6765782376087,42.5666945902392,47.5901209124905,51.7578094120351,55.0783590146444
0.68941,0.716321374254754,2.2585816130887,4.70844106748074,7.7584707527108,11.3272338931898,14.9996075767872,19.4323440632552,23.5637888463308,28.0266284823209,32.9955278292661,37.8973970733887,42.8203006735154,47.8786946982216,52.0751300631868,55.4204475053961
0.69941,0.714404636631258,2.25880244365958,4.71318067769376,7.7706098647105,11.3459908397472,15.0280360927453,19.4746609965855,23.6485968263101,28.1648469497916,33.165067566062,38.0967577006282,43.0489897962162,48.1388223737106,52.3609939468965,55.7286730637591
0.70941,0.712376577170877,2.25834540496724,4.71584675156767,7.77885559797389,11.3588850675859,15.0480694359951,19.5056956486666,23.7199333852278,28.2875437284726,33.3157901761552,38.2738733340107,43.2518594268525,48.3694773338634,52.6142728890138,56.0018192642694
0.71941,0.710245199697768,2.25721230073461,4.71642876732689,7.78317541035889,11.3658656890793,15.0596285440831,19.5253255399051,23.7775169902764,28.3942345902333,33.4471008262624,38.4280449790476,43.4281089316744,48.5697492889284,52.8339673132664,56.2388081236622
0.72941,0.708018915785085,2.25540760280641,4.71492442802112,7.78355225353955,11.3669051549037,15.0626677984906,19.5334732000884,23.8211203852742,28.4844984749847,33.5584812932375,38.5586641906903,43.5770427344073,48.7388478569945,53.0192101861306,56.4387043551794
0.73941,0.705706511558338,2.25293843350089,4.71133967059033,7.779984640288,11.3619993627621,15.0571752046689,19.530106474124,23.8505714875417,28.5579791524113,33.6494920092625,38.6652154745847,43.698073061373,48.8761056832675,53.1692704386167,56.6007190597191
0.74941,0.703317113020574,2.24981453750125,4.70568864243439,7.77248665034387,11.3511676735751,15.0431724393765,19.5152386489412,23.8657540670332,28.6143866278495,33.71977379662,38.747278321492,43.7907222611645,48.9809810738141,53.283555851464,56.72421283926
0.75941,0.700860150036207,2.2460482433978,4.69799364557971,7.76108787484794,11.3344528350712,15.0207147651308,19.4889284010535,23.8666082050437,28.6534982867637,33.769049285204,38.8045288668462,43.8546246897177,49.0530601333808,53.3616153923602,56.808698320273
0.76941,0.698345319115659,2.24165441503274,4.68828504866337,7.74583329955951,11.3119208130818,14.9898908121121,19.4512795649893,23.8531305306806,28.6751597733048,33.7971240071728,38.8367411689002,43.8895281533413,49.0920583988494,53.4031409959592,56.8538420771626
0.77941,0.695782545147656,2.23665039283926,4.67660116708197,7.72678312731808,11.2836605312037,14.9508222283807,19.4024407235045,23.8253742341674,28.6792855994816,33.8038871644251,38.8437881004142,43.8952949040102,49.0978219618826,53.407968779675,56.8594659481443
0.78941,0.693181942230229,2.23105592540685,4.66298811177824,7.70401254045029,11.2497835198588,14.903663199788,19.3426046211941,23.7834488569256,28.6658594825429,33.7893120658688,38.825641850369,43.8719021829942,49.0703280763302,53.3760796904508,56.8255477383688
