phase_(f*t)[-],z_mat_sin_01[mm],z_mat_sin_02[mm],z_mat_sin_03[mm],z_mat_sin_04[mm],z_mat_sin_05[mm],z_mat_sin_06[mm],z_mat_sin_07[mm],z_mat_sin_08[mm],z_mat_sin_09[mm],z_mat_sin_10[mm],z_mat_sin_11[mm],z_mat_sin_12[mm],z_mat_sin_13[mm],z_mat_sin_14[mm]
0.42565,40.7722621324128,77.7069331150924,116.507918066022,154.565849840013,193.50736373968,227.782456526876,265.312379562414,301.895049097945,337.160647526161,374.788213121009,411.337390042024,447.712596445305,484.499751467575,514.781432779033
0.43565,40.7754484762893,77.7054720379533,116.50514427121,154.560303257044,193.496311379946,227.764353661526,265.286499544865,301.856267341503,337.114482143809,374.726296623522,411.262125397666,447.625796418351,484.392297304525,514.666689008093
0.44565,40.7785720699351,77.7043559633965,116.503377933742,154.556821246884,193.488674880595,227.751532358842,265.268157485939,301.828420465853,337.081545155219,374.681191681336,411.207234732402,447.562492111901,484.312323826257,514.58217828861
0.45565,40.7816205859529,77.7035892960584,116.502626024542,154.555417551438,193.484484379401,227.744043218647,265.257425773362,301.811618369893,337.061966547636,374.653076303052,411.172934674611,447.52293335913,484.260146651554,514.528234145782
0.46565,40.7845819932429,77.7031750616247,116.502891511055,154.55609771045,193.483756414358,227.741915797158,265.254346760302,301.805927363818,337.055823588881,374.642061447223,411.159360590951,447.507276280364,484.235971699886,514.505069472498
0.47565,40.7874446044833,77.7031148948894,116.504173345525,154.558859039644,193.486493858412,227.745158490335,265.258932598216,301.81136990743,337.063140522404,374.648190584453,411.166566052129,447.515582666939,484.239894378744,514.51277568914
0.48565,40.7901971222555,77.7034090333032,116.506466469138,154.563690641313,193.492685908121,227.753758500749,265.271165188898,301.827924521496,337.083888471611,374.671439525836,411.194522621481,447.547819737342,484.271899207105,514.551322382791
0.49565,40.7928286836292,77.7040563160362,116.509761831983,154.570573447335,193.502308126294,227.767681888088,265.290996255899,301.855525872516,337.117985553828,374.711716518424,411.243119967201,447.603860266584,484.331859876535,514.620557427261
0.50565,40.795328903034,77.7050541885591,116.514046428767,154.579480294418,193.515322538432,227.786873703104,265.318347535059,301.894065030569,337.165297203446,374.768862607327,411.312166297767,447.683483088299,484.419539749664,514.720207583462
0.51565,40.7976879132462,77.706398712725,116.519303350145,154.590376031306,193.531677782595,227.811258204469,265.353111083375,301.943389899205,337.225636703,374.842652263039,411.401389118855,447.786373967585,484.53459279409,514.849879577751
0.52565,40.7998964043301,77.7080845823112,116.52551184945,154.603217657504,193.551309312108,227.840739157698,265.395149705003,302.0033058157,337.298765920052,374.932794271501,411.510436308754,447.912126841149,484.67656494801,515.009061654009
0.53565,40.8019456603804,77.7101051439606,116.532647424572,154.617954492978,193.574139650292,227.875200214937,265.444297492709,302.073576319307,337.384396246991,375.038932883388,411.638877508025,448.060245419849,484.844895912192,515.197125593305
0.54565,40.8038275939198,77.7124524234396,116.540681914654,154.634528378173,193.600078696232,227.914505374137,265.500360482629,302.15392408445,337.482189740038,375.160649218088,411.786205817931,448.230145147325,485.038921361225,515.413329193189
0.55565,40.8055347778162,77.7151171571085,116.549583611236,154.652873903535,193.629024080365,227.958499515791,265.563117419754,302.244032015208,337.591760452954,375.297462916835,411.951839800943,448.421155506971,485.257875565303,515.656819196824
0.56565,40.8070604745948,77.7180888284807,116.559317383388,154.672918667657,193.660861568482,228.007009015121,265.632320631125,302.343544496745,337.712675960192,375.448834038465,412.1351257754,448.632522668163,485.500894412213,515.926634660409
0.57565,40.8083986630274,77.7213557097271,116.569844816359,154.694583563013,193.695465512565,228.059842427294,265.707697003281,302.452068798759,337.844459063486,375.614165190315,412.335340395297,448.863412461279,485.767018817591,516.221710745573
0.58565,40.8095440618957,77.7249049079598,116.581124363179,154.717783088158,193.732699346654,228.116791242972,265.788949060119,302.56917662541,337.986589675134,375.792803885862,412.551693504997,449.11291366979,486.055198509989,516.540882921817
0.59565,40.8104921508336,77.7287224161149,116.59311150863,154.742425685165,193.772416125816,228.177630711194,265.87575613689,302.694405805608,338.138506870545,375.984045119787,412.78333125762,449.380041626412,486.36429617582,516.882891562378
0.60565,40.8112391881671,77.7327931682319,116.605758944927,154.768414100963,193.81445910607,228.242120726376,265.967775645721,302.82726211699,338.299611101953,376.187134150308,413.029339484782,449.66374209914,486.693091947807,517.246386915399
0.61565,40.8117822256813,77.7371010989117,116.619016758416,154.795645771147,193.85866236298,228.31000677589,266.06464442765,302.967221236391,338.469266564559,376.401269477806,413.288747304399,449.962895451818,487.040288219254,517.629934430787
0.62565,40.8121191202552,77.7416292067202,116.632832626563,154.824013224756,193.904851446486,228.381020944513,266.16598018585,303.113730809109,338.646803705758,376.625606007972,413.56053095232,450.276321062833,487.404514765094,518.032020421726
